67.38,26.74,34.43,39.24,6.5411,16286.18,30.01,35.74,92.0,40.37,75.76,36.27,44.75,52.6,21.97,49.46,66.7,93.8,548.69,4.9348,33.44,14.537,810.38,124.19,75.14,13.07,75.84,12.788,67.68,6.3023,24006.92,2.4909,268.48,38.34,24.92,68055.39,20.87,35.58,6.3244,18.119,15.794,17.838,18.937,22.01,20.26,32.02,114.11,12.515
67.67,27.04,34.4,39.46,6.3824,16643.89,30.46,36.03,91.92,40.41,75.79,36.39,44.54,52.43,21.47,49.68,66.47,93.65,552.2,4.9965,33.69,14.74,810.22,124.17,75.11,13.17,75.85,12.788,66.68,6.2363,24301.12,2.4915,274.08,38.36,25.12,68106.74,20.94,35.73,6.3063,17.910999999999994,15.954,17.849,18.849,21.95,20.3,32.45,115.35,12.505999999999998
68.43,27.96,35.02,40.75,6.5760000000000005,16113.21,31.68,37.51,93.22,40.92,76.56,36.74,45.19,53.23,22.2,50.4,66.74,95.02,562.4,5.0964,34.02,15.666,792.71,122.9,75.1,13.43,76.7,13.069,66.95,6.4406,23336.14,2.5621,278.56,38.79,25.97,66683.01,21.46,36.34,6.3299,18.263,16.088,17.901,18.991,22.0,20.73,33.62,117.84,12.78
69.0,27.87,35.23,40.82,6.4510000000000005,16451.28,31.51,37.06,93.13,41.17,76.91,36.92,45.09,53.18,22.07,50.4,67.68,95.11,567.88,5.1778,34.25,15.763,785.59,122.32,75.19,13.32,77.01,13.187,68.32,6.4172,23430.28,2.6046,279.52,38.96,25.88,65566.66,21.72,36.67,6.2933,18.276,16.189,17.879,19.186,22.31,20.73,33.06,119.05,12.715
68.81,27.85,35.35,40.47,6.4523,16451.28,31.28,37.02,93.36,41.14,76.89,36.91,45.4,53.58,22.13,50.54,67.5,95.52,561.08,5.2383,34.48,15.524,785.74,122.46,75.16,13.45,76.99,13.178,67.71,6.5556,22924.25,2.5997,278.48,39.02,25.9,62894.0,21.81,36.39,6.283,18.335,16.273,17.909000000000006,19.071,22.24,20.87,32.48,117.84,12.828
70.11,28.6,35.89,41.6,6.9363,15177.63,32.57,37.26,93.26,41.64,78.59,37.58,46.84,55.16,22.98,50.84,67.39,98.06,580.71,5.4825,35.27,16.452,750.72,119.7,75.02,13.51,78.71,13.769,66.45,7.172999999999999,20723.62,2.7773,285.84,39.9,26.57,61040.62,22.47,37.43,6.4643,18.695,16.575,18.132,19.576,22.7,21.36,33.19,123.03,13.153
70.43,28.49,36.14,41.67,6.9215,15209.08,32.73,37.2,93.41,41.71,78.93,37.74,47.19,55.41,23.04,51.23,67.58,99.06,589.92,5.4862,35.28,16.379,744.68,119.09,75.07,13.68,79.04,13.887,66.81,7.33,20276.43,2.8089,289.84,40.04,26.51,60794.8789,22.67,37.78,6.4384,18.735,16.524,18.319000000000006,19.885,23.12,21.34,33.81,124.99,13.166
70.55,28.72,36.22,42.02,7.22,14564.39,33.03,37.16,93.7,41.98,79.16,37.64,47.32,55.42,23.52,51.41,67.42,99.33,586.3,5.4838,35.26,16.771,739.72,118.74,75.01,13.83,79.24,13.970999999999998,66.02,7.392,20088.14,2.8325,290.64,40.21,26.67,61388.84,22.7,37.91,6.542000000000002,18.807,16.491,18.214,19.865,23.06,21.43,33.64,125.16,13.097
70.45,28.63,36.05,41.8,7.145,14698.05,33.19,35.68,92.12,42.01,78.93,37.67,47.37,55.54,23.5,51.48,67.71,99.15,571.28,5.5146,35.39,16.053,743.75,119.09,74.96,13.52,79.04,13.882,66.6,7.426,19994.0,2.8084,286.08,40.11,26.54,64061.44,22.52,37.29,6.5212,18.823,16.524,18.25,19.515,23.11,21.36,33.19,122.43,13.01
70.21,27.96,35.75,40.88,7.104,14812.05,31.93,34.67,91.2,42.15,78.55,37.55,47.1,55.42,23.13,51.63,68.11,98.35,552.7,5.4838,35.27,15.473,750.88,119.57,74.93,13.12,78.78,13.741,66.98,7.297999999999999,20323.5,2.7710000000000004,268.56,39.92,25.97,64737.28,22.04,36.41,6.5212,18.735,16.508,18.298,19.421,23.18,21.25,31.84,119.72,12.958
